Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
Premia Badam (Almonds),Premia,451,329,Grocery,Grocery/Dry Fruits,500 gm,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,109,85,Grocery,Grocery/Dry Fruits,100 gm,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,202,175,Grocery,Grocery/Dry Fruits,200 gm,India,Grocery > Grocery/Dry Fruits
Nutraj California Almonds (Badam),Nutraj,599,349,Grocery,Dry Fruits,500 gm,USA,Grocery > Dry Fruits
Nutraj California Almonds (Badam),Nutraj,1549,659,Grocery,Dry Fruits,1 kg,USA,Grocery > Dry Fruits
Chana Dal,,49,42,Grocery,Dals,500 gm,India,Grocery > Dals
Chana Dal,,96,80,Grocery,Dals,1 kg,India,Grocery > Dals
Rajma White,,112,102,Grocery,Pulses,500 gm,India,Grocery > Pulses
Rajma Kashmiri Red,,101,81,Grocery,Pulses,500 gm,India,Grocery > Pulses
Premia Mamra Badam,Premia,634,488,Grocery,Dry Fruits,200 gm,India,Grocery > Dry Fruits
Tata Sampann Chana Dal,Tata,64,49,Grocery,Dals,500 gm,"Overview:Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma, and provides essential amino acids for complete protein. Used in a variety of soups, salads, sweets and savouries, chana dal is an essential in every household.Key Features:Source of proteinEasy to digestProvides essential amino acidsStorage Condition:Store in a cool and dry place.",Grocery > Dals
Tata Sampann Chana Dal,Tata,125,112,Grocery,Dals,1 kg,"Overview:Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma, and provides essential amino acids for complete protein. Used in a variety of soups, salads, sweets and savouries, chana dal is an essential in every household.Key Features:Source of proteinEasy to digestProvides essential amino acidsStorage Condition:Store in a cool and dry place.",Grocery > Dals
Rajma Red Small,,61,56,Grocery,Pulses,500 gm,India,Grocery > Pulses
Nutraj Almond,Nutraj,299,175,Grocery,Dry Fruits,200 gm,"Allergen InformationContains tree nuts, This product has been packed in an integrated nuts and dried fruits processing unit and may contain traces of other nuts and dried fruits.",Grocery > Dry Fruits
Satyam Rajma Pink,Satyam,149,138,Grocery,Pulses,500 gm,"OverviewRajma or Kidney beans are famously used throughout the Indian Subcontinent. They are cultivated in the Kashmir valley and have a strong and robust colour and flavour. They are a good source of protein and are also rich in protein, thiamine (vitamin B1), potassium, copper, iron, magnesium. They are an interesting addition to soups salads and rice dishes, maybe most famously the renowned Rajma Chawal.Key Features- Rich in Proteins, Vitamins and Minerals",Grocery > Pulses
KMK Almond Mamra (Badam),KMK,750,575,Grocery,Dry Fruits,200 gm,StorageStore in a cool and dry place. Keep away from sunlight and bad odour,Grocery > Dry Fruits
DMart Healthy Choice Unpolished Chana Dal,DMart Healthy Choice,117,94,Grocery,Dals,1 kg,"OverviewFor most Indians, comfort food is always linked to easy-to-cook homemade meals and what can be the most convenient and quick to prepare dal. A staple in the Indian diet, Chana dal has a rich flavour and aroma and provides protein. It can also be used in a variety of soups, salads, sweets, pakoras, and savouries. Essential in every household, Tata Sampann Chana dal is unpolished as it does not undergo any artificial polishing with water, oil, or leather thereby retaining its goodness and wholesomeness.The 5-step process ensures that Chana dal grains are uniform and of premium quality, giving you an all-natural, authentic taste. So, whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Chana dal, and enjoy a lovely meal!How to UseAmazing Recipes : Used in a variety of soups, salads, sweets, pakoras, and savouries.Storage Store in a cool and dry place. Transfer contents in an airtight container after opening.",Grocery > Dals
Satyam Rajma Sharmili,Satyam,129,119,Grocery,Pulses,500 gm,Key Features- Packed with care and hygiene.- Premium product.,Grocery > Pulses
